molecule;mass;abundance;output;resolution;adduct;charge;mult;type;threshold;fraction;is_ppm;dmz;calcSum;monoMass
C24H43ClNOP2Ru;561.148596466;0.0466819437224762;pattern;100000;M+;1;1;Gaussian;0.01;0.1;0;0;C24H43Cl1N1O1P2Ru1;560.1546
C24H43ClNOP2Ru;561.151676376;0.365329800473724;pattern;100000;M+;1;1;Gaussian;0.01;0.1;0;0;C24H43Cl1N1O1P2Ru1;560.1546
C24H43ClNOP2Ru;561.152924106;17.3010440844974;pattern;100000;M+;1;1;Gaussian;0.01;0.1;0;0;C24H43Cl1N1O1P2Ru1;560.1546
C24H43ClNOP2Ru;561.153671106;0.0122714553153353;pattern;100000;M+;1;1;Gaussian;0.01;0.1;0;0;C24H43Cl1N1O1P2Ru1;560.1546
C24H43ClNOP2Ru;561.154916346;3.31688826145066;pattern;100000;M+;1;1;Gaussian;0.01;0.1;0;0;C24H43Cl1N1O1P2Ru1;560.1546
C24H43ClNOP2Ru;561.156264016;0.0512780820873294;pattern;100000;M+;1;1;Gaussian;0.01;0.1;0;0;C24H43Cl1N1O1P2Ru1;560.1546
C24H43ClNOP2Ru;561.157527086;0.0265922105818124;pattern;100000;M+;1;1;Gaussian;0.01;0.1;0;0;C24H43Cl1N1O1P2Ru1;560.1546
C24H43ClNOP2Ru;561.157838252;0.0631946151986129;pattern;100000;M+;1;1;Gaussian;0.01;0.1;0;0;C24H43Cl1N1O1P2Ru1;560.1546
C24H43ClNOP2Ru;561.157996256;25.9577479025574;pattern;100000;M+;1;1;Gaussian;0.01;0.1;0;0;C24H43Cl1N1O1P2Ru1;560.1546
C24H43ClNOP2Ru;561.158858296;0.0380925649327867;pattern;100000;M+;1;1;Gaussian;0.01;0.1;0;0;C24H43Cl1N1O1P2Ru1;560.1546
C24H43ClNOP2Ru;561.159990986;0.417796290409956;pattern;100000;M+;1;1;Gaussian;0.01;0.1;0;0;C24H43Cl1N1O1P2Ru1;560.1546
C24H43ClNOP2Ru;561.160119996;0.111119465626353;pattern;100000;M+;1;1;Gaussian;0.01;0.1;0;0;C24H43Cl1N1O1P2Ru1;560.1546
C24H43ClNOP2Ru;561.160918162;0.494556874040515;pattern;100000;M+;1;1;Gaussian;0.01;0.1;0;0;C24H43Cl1N1O1P2Ru1;560.1546
C24H43ClNOP2Ru;561.162112236;0.0213033877813755;pattern;100000;M+;1;1;Gaussian;0.01;0.1;0;0;C24H43Cl1N1O1P2Ru1;560.1546
C24H43ClNOP2Ru;561.162583896;1.74582328867309;pattern;100000;M+;1;1;Gaussian;0.01;0.1;0;0;C24H43Cl1N1O1P2Ru1;560.1546
C24H43ClNOP2Ru;561.162912892;0.0166122023793582;pattern;100000;M+;1;1;Gaussian;0.01;0.1;0;0;C24H43Cl1N1O1P2Ru1;560.1546
C24H43ClNOP2Ru;561.164576136;0.102270174160428;pattern;100000;M+;1;1;Gaussian;0.01;0.1;0;0;C24H43Cl1N1O1P2Ru1;560.1546
C24H43ClNOP2Ru;561.165505802;0.069416532544069;pattern;100000;M+;1;1;Gaussian;0.01;0.1;0;0;C24H43Cl1N1O1P2Ru1;560.1546
C24H43ClNOP2Ru;562.149959066;0.0632058698337654;pattern;100000;M+;1;1;Gaussian;0.01;0.1;0;0;C24H43Cl1N1O1P2Ru1;560.1546
