x,.,.(SD)
1894,0.07654862397582446,0
1897,0.07998315707033092,0
1900,0.08639523878608096,0
1903,0.09347385901574938,0
1906,0.10714339359638583,0
1909,0.12335344218086874,0
1912,0.13275437218338643,0
1915,0.14113243347647808,0
1918,0.14508936954427581,0
1921,0.14967976923900267,0
1924,0.16008688742262736,0
1927,0.16217837164193039,0
1930,0.15436709690087466,0
1933,0.1444147858285905,0
1936,0.12477512687596903,0
1939,0.10013516040745431,0
1942,0.08057020379740625,0
1945,0.06660206041742014,0
1948,0.06020383775716328,0
1951,0.051095604469586275,0
1954,0.041956004917502884,0
1957,0.03547224476483096,0
1960,0.021744951497597337,0
1963,0.020818624922015073,0
1966,0.01989670944658477,0
1969,0.01600381933588373,0
1972,0.00717413739168465,0
1975,0.004370950810356542,0
1978,0.007042416838904282,0
1981,0.0036097866877194584,0
1984,0.007453107850086407,0
1987,0.0025101739181865954,0
1990,0.0029576360642930856,0
1993,0.00712325624763339,0
1996,0.0025317007616135457,0
1999,-0.001518329270424236,0
2002,0.0034580068604015907,0
2005,-0.004888004953841815,0
2008,-0.002001980224416757,0
2011,-0.00047691018384465823,0
2014,0.006190057228322655,0
2017,-0.00006096170572208059,0
2020,-0.0012222926862211709,0
2023,0.0016804174252343762,0
2026,0.006436779908002569,0
2029,0.004381638329363079,0
2032,-0.007480970642254273,0
2035,-0.0024052119615654475,0
2038,-0.002916217404143772,0
2041,0.00476336232202348,0
2044,0.014124519851105966,0
2047,0.013739962520774692,0
2050,0.016335007381753048,0
2053,0.01833371713543869,0
2056,0.021307811235042974,0
2059,0.01805693560994628,0
2062,0.020202555480041493,0
2065,0.020137230992616124,0
2068,0.015741630234455784,0
2071,0.016719384299749743,0
2074,0.014414178035319249,0
2077,0.015238091515983713,0
2080,0.015837590762690656,0
2083,0.022355828099178125,0
2086,0.02298772001017212,0
2089,0.020472651634274808,0
2092,0.02140031373888483,0
2095,0.019497970910433888,0
2098,0.015378174402274137,0
2101,0.016322239410995393,0
2104,0.01510367290213528,0
2107,0.013522554930159976,0
2110,0.017973327238969085,0
2113,0.021660702898147182,0
2116,0.019143118398928127,0
2119,0.019524721066613022,0
2122,0.01905922480984891,0
2125,0.01704028596338416,0
2128,0.015212034704377818,0
2131,0.016787036114151426,0
2134,0.011832603674120555,0
2137,0.01318982320087044,0
2140,0.012485746490290169,0
2143,0.01130119182903731,0
2146,0.008664449695769457,0
2149,0.004219777413048479,0
