Wavenumbercm-1,2.72e+01 M,2.18e+01 M,1.81e+01 M,1.36e+01 M,1.09e+01 M,9.07e+00 M,6.80e+00 M,5.44e+00 M,4.53e+00 M,3.63e+00 M,2.72e+00 M
2428,-0.0208941265703966,-0.0161236348767017,-0.016139830415759768,-0.015288246139752834,-0.015667966335445233,-0.016000847277496,-0.016121056458212366,-0.016941556200432452,-0.0165903218397961,-0.0122568314429333,-0.0126893439970851
2426,-0.020884214371566474,-0.016084707905876277,-0.016154666052740366,-0.0153392232641527,-0.015693089655503065,-0.0159933539498333,-0.016145669725043933,-0.0168679559291737,-0.0165064201030124,-0.0122371175330488,-0.0127411699000981
2424,-0.020841313229176525,-0.01602347587868105,-0.016122271579182633,-0.015331244892217133,-0.015637205644519033,-0.015937023730790832,-0.01613308422489877,-0.01679629605480775,-0.016398714322424048,-0.01220795845677255,-0.0127639589662674
2422,-0.02080252051567865,-0.01597118473284125,-0.016072327046362966,-0.015294074404931565,-0.015574445347591734,-0.015895320698967968,-0.016100122453242667,-0.01677156323537905,-0.01632953151318825,-0.01218709335786295,-0.0127360801672706
2420,-0.020832368711662178,-0.016001132301370798,-0.016083514133541667,-0.0153178833748917,-0.015603539731396601,-0.015937881833053367,-0.016119503121174102,-0.01684401875169035,-0.016364696511860302,-0.01221055838879005,-0.0127173107570181
2418,-0.020891147158366576,-0.0160856210540049,-0.016137394089505198,-0.015387640758203,-0.015678410858936603,-0.016009822367792532,-0.0161878127470505,-0.016950637044540598,-0.016448551444819298,-0.0122325453250438,-0.0127275315884671
2416,-0.020880069819646848,-0.01610660559425305,-0.016125192756579396,-0.0153957877138875,-0.0156699615984171,-0.015992927694407133,-0.016215777378225434,-0.0169627245004014,-0.01646336735516435,-0.0121752248828798,-0.0127101408055291
2414,-0.020796957326026877,-0.016036215472612823,-0.016024148001016966,-0.015323522171213466,-0.015580865399157267,-0.015887278533355902,-0.016171199168564934,-0.01686438197836275,-0.0164081093400326,-0.0120759890091175,-0.0126517083927741
2412,-0.020730369988458175,-0.015975570589192852,-0.015936361208019032,-0.015264558694519233,-0.015538408508519999,-0.015804802297565663,-0.0161147154406291,-0.016768679842517252,-0.0163865127790997,-0.01205255044554425,-0.0126183898097246
2410,-0.02070673578133185,-0.015973489830277025,-0.0159123605289401,-0.015245924943503367,-0.015563045537682667,-0.015776189611958234,-0.016064530026882833,-0.01673416083525835,-0.0164104117472254,-0.01210774414900005,-0.0126234136354354
2408,-0.020662365234415375,-0.01594259599058965,-0.0158693101542908,-0.015173966840294298,-0.0155187426868445,-0.015707556078082666,-0.0159532431431437,-0.0166918480746688,-0.01636606433308175,-0.0121091331762237,-0.0125826512122641
2406,-0.02057018648091285,-0.015815559674869625,-0.015739716462345097,-0.015003667031638865,-0.015336833790060733,-0.0155578556417481,-0.015764642685250633,-0.016592165532773,-0.0162110396547492,-0.011991880141412399,-0.0124633119723992
2404,-0.02048165916514815,-0.015660682096256377,-0.015582597166072167,-0.014827672730046834,-0.015129586027806001,-0.015418177993195633,-0.015591445267439066,-0.01649543258651725,-0.01605661932381565,-0.01184358447934925,-0.0123543176705265
2402,-0.02043074954949315,-0.015569521722029174,-0.015484750340717335,-0.014739307591858167,-0.0150172082933128,-0.01536523363488613,-0.015502816410993067,-0.0164577404642735,-0.015993915900934852,-0.0117459215118059,-0.0123196089446964
2400,-0.02039598964788195,-0.015537026828684627,-0.015454504814320766,-0.014722916061293534,-0.014982741058355765,-0.015360714934932032,-0.015463673998996867,-0.0164424910230627,-0.01597361538500825,-0.0116724588777074,-0.0123003708961392
2398,-0.020364007728795652,-0.015517643037311474,-0.015464289413174001,-0.014725026358075967,-0.014959331786840701,-0.015342789371686002,-0.015427247700420933,-0.016406769954920852,-0.015922264723121,-0.011592834171129,-0.0122313310351336
2396,-0.0203417121768453,-0.015505599875207176,-0.015503490551954234,-0.014727195861149733,-0.014934687008744433,-0.015308840544021233,-0.015401199045879499,-0.01637536932793255,-0.01585769886134535,-0.0115451862488983,-0.012144212455688
2394,-0.020306939933731123,-0.0155006095849273,-0.015544088696438335,-0.014709996003922468,-0.014908412087431433,-0.015265458395316801,-0.015383027640407434,-0.0163677471821658,-0.01581899567681085,-0.011545083866391099,-0.0120867484408745
2392,-0.020229985783435375,-0.01547488562333015,-0.015538702007153134,-0.014644895551684434,-0.0148544006397729,-0.0151965848993152,-0.015336517699234267,-0.0163398716881894,-0.01578321795677365,-0.01153519354260075,-0.0120405920302364
2390,-0.020140644380689826,-0.015423351572528401,-0.015487628800664099,-0.014556407808471334,-0.014781005749964833,-0.015121067419002899,-0.0152720712221791,-0.01625673925396335,-0.0157217059289972,-0.011480275034141549,-0.0119833023660115
2388,-0.020101641141460624,-0.015378238736838124,-0.015436902051794599,-0.014505315019940901,-0.014740110195255167,-0.015092255050552034,-0.0152533503862226,-0.01615135730151775,-0.0156606636563088,-0.01141483700831995,-0.0119350956410297
2386,-0.020129092526846373,-0.015345765615948274,-0.015400138255816766,-0.014494881646313934,-0.014743976249789334,-0.015113835479355965,-0.015294701890021167,-0.01607045993274655,-0.01563203247053885,-0.0113581896189098,-0.0118877149451721
2384,-0.020215390360369977,-0.015312067165931751,-0.015375173861935565,-0.014495693790803267,-0.014772790303919467,-0.015156078269725532,-0.015359768422322465,-0.0160437606226806,-0.0156445730223175,-0.01129432419648075,-0.0117955376164569
2382,-0.02040666129397585,-0.015337291354594777,-0.0154449010044558,-0.0145744648808306,-0.014887702181158266,-0.015277462438547334,-0.015491575952867468,-0.0161446851400179,-0.0157526255332251,-0.01127925154966395,-0.0117021127580202
2380,-0.020763634126457174,-0.015540422996761425,-0.015739840164016236,-0.0148700026090279,-0.015212191663607868,-0.0156102898579435,-0.01581721228704543,-0.0164795438402661,-0.01606179849083915,-0.0114424141006991,-0.0117621820743991
2378,-0.021244267086148502,-0.015927192805305773,-0.01624513217090093,-0.015382493065590567,-0.015738088666512034,-0.01616190431276353,-0.016348769505244134,-0.01703519902726935,-0.01658380646174995,-0.01179621458740085,-0.0120358656315497
2376,-0.02171820662769735,-0.016317225442873277,-0.016748077301771802,-0.0158985321798811,-0.016262586923577033,-0.016733204126167436,-0.016887858072047034,-0.0176135181028721,-0.017150065313629552,-0.01214449506238125,-0.0123457554303633
2374,-0.022130562850503098,-0.016544955387668175,-0.017080141920379068,-0.016239227013964134,-0.016634876229181566,-0.017148089621781035,-0.017258487135565503,-0.01803637979504005,-0.01758044822683005,-0.012310710992616249,-0.0124810495838525
2372,-0.022565582727913,-0.0166880211902662,-0.017346140842244433,-0.016514697485176897,-0.016987630839562534,-0.0175011736329562,-0.01757583496060387,-0.0183854583331923,-0.017918197277773648,-0.0123999262567718,-0.0125059606982921
2370,-0.023079876854874302,-0.01695141148916718,-0.01776187008823123,-0.016962782569806666,-0.01754037887259287,-0.0180082732347178,-0.018092211221416,-0.018878703952883498,-0.0183562771928748,-0.012650021588209149,-0.0126682823208127
2368,-0.0235751662055558,-0.017353090329829523,-0.018317687990668435,-0.017579286289571467,-0.018228080156504334,-0.01864856962024013,-0.018795336626193832,-0.0195159038903112,-0.0189304332604094,-0.01306218763446745,-0.0130028060699483
2366,-0.0239405863169383,-0.017718795984599852,-0.0188093310358298,-0.018131746543372396,-0.0187720748196231,-0.019181649399725068,-0.019405988614911968,-0.02005826444626195,-0.01946768670925705,-0.013423403655801299,-0.0132836143399796
2364,-0.024183971441858576,-0.017944093882304973,-0.019128568239861334,-0.018482572416733435,-0.019055545585082066,-0.01947639957511033,-0.019753134873789567,-0.020348706574874,-0.01982948795586665,-0.0136401207731515,-0.0133747582585926
2362,-0.024321289952977478,-0.01805561239531005,-0.019304428042498333,-0.0186658889702022,-0.0191729342910807,-0.019593491644465968,-0.019899449983924667,-0.02043532742321915,-0.02001685714131975,-0.013779797077483849,-0.0133585244240893
2360,-0.024297062057679626,-0.018071091465381127,-0.019342024590300433,-0.018708975779532535,-0.019183369999748068,-0.0195939396099942,-0.019921821194628566,-0.0203959489942627,-0.0200512944088127,-0.013847327324378801,-0.0133202252971541
2358,-0.024084010073937397,-0.01797127111915,-0.01919833848493593,-0.0185657387289135,-0.019034206677058,-0.0194503988339577,-0.019776691686977668,-0.020211944679121352,-0.01989291749887015,-0.0137618155033404,-0.0132379244194729
2356,-0.0236990828269378,-0.0177408127826729,-0.018837801288485532,-0.018179994944264064,-0.018662633942243833,-0.019101598868070165,-0.019373758735562734,-0.019809638664087352,-0.01947003928921295,-0.013488617908529399,-0.0130696409877311
2354,-0.023137844760819475,-0.017349787425632774,-0.0182502695441254,-0.0175488192678289,-0.018061567361267166,-0.0185183365568383,-0.0186990931455005,-0.019163989358079,-0.01877306723759575,-0.013046450950048801,-0.0127896847731679
2352,-0.022475031473265374,-0.016816225531037975,-0.017533985050445334,-0.0168044145846998,-0.017342270555728064,-0.017803055555760935,-0.017909168651307036,-0.0184045180275798,-0.01796744195766285,-0.012494565118767401,-0.0124044971191524
2350,-0.02193436204948395,-0.016291851828978,-0.0169231229376936,-0.016197840374805733,-0.01673736797332377,-0.017197004831190965,-0.017279195149199834,-0.0177849205531852,-0.017341343744387352,-0.011979085927962,-0.0120124904154088
2348,-0.0217337360150967,-0.015985986908446475,-0.016646270860929832,-0.0159502734180757,-0.016472143350342198,-0.01693240835827463,-0.01703781170158607,-0.01752918473505615,-0.017122602418434302,-0.01169171772406705,-0.0117727748997512
2346,-0.021914942865021898,-0.01602054855954925,-0.016775372851476667,-0.016123651748304633,-0.0166214223386262,-0.017086604717595297,-0.017239425796131868,-0.01771009414345715,-0.0173544621295748,-0.01174795894276175,-0.0117887509019029
2344,-0.022278010727039,-0.016313172400637375,-0.017144130130247133,-0.016546183348106033,-0.017014670921874198,-0.017492977944682565,-0.017687982967699967,-0.018166219392725398,-0.017830435200886903,-0.01206618576682325,-0.012003640316013
2342,-0.022532199115707124,-0.016617584771525203,-0.017460428163046198,-0.016914153551020068,-0.0173465933895443,-0.01784592615734513,-0.018054940890786436,-0.018583256022442,-0.01821441272631195,-0.012405932828433601,-0.0122499979534757
2340,-0.0226116031076943,-0.01678968839622445,-0.0176088950798595,-0.017092346813819433,-0.017510308909498767,-0.018021895026111,-0.01821735731679613,-0.01880731489304515,-0.0183806029758488,-0.012626381540144,-0.012450630235426
2338,-0.022637790337412676,-0.016855814158886026,-0.017644187032370296,-0.01712481782884277,-0.017587843379450865,-0.018084446506774234,-0.018256385669078102,-0.0188872116987775,-0.01841912596502865,-0.012728274312465149,-0.0125919451626848
2336,-0.022622751517866125,-0.016797283915788302,-0.01753684650840003,-0.016985320538176,-0.01753518018768663,-0.017996086017068966,-0.018149570876393965,-0.01880111206475145,-0.018320221018478203,-0.0126470540235701,-0.0125508384998589
2334,-0.02248181829245555,-0.016552466804015002,-0.017241175865788102,-0.016633887558761,-0.01723749846113867,-0.017668453548977267,-0.017821038734754265,-0.01847909118472235,-0.017998390373044952,-0.01232203176921405,-0.012243126226627
2332,-0.022237866396621474,-0.0162133475759083,-0.016905827545526133,-0.016229838408648632,-0.016804544557038902,-0.017226554136010864,-0.01740576646142687,-0.01805386346934955,-0.0175603954254245,-0.01192358369180135,-0.0118767347393091
2330,-0.022011752419919223,-0.01598167537023485,-0.0167419925971239,-0.016015815837764864,-0.016504777071110935,-0.016928686613262467,-0.0171555451727904,-0.0177925311150673,-0.01725915220302555,-0.01172525516534275,-0.0117602328098268
2328,-0.02185728120060835,-0.015916858710906073,-0.016738122421856065,-0.016024997537544935,-0.016421606741127234,-0.016843358447122567,-0.017112855524824035,-0.0177674729131759,-0.0171841304594797,-0.0117628650856391,-0.0118898016912202
2326,-0.021731719825928874,-0.0158831175272105,-0.016695459862309334,-0.016071803124793834,-0.016386940381903633,-0.0168035804617885,-0.017088597879769667,-0.0177873042468481,-0.01718166497265805,-0.01181930570419925,-0.0119651235547845
2324,-0.021585724874556424,-0.0157500489658335,-0.016499585527307566,-0.015992598966910167,-0.016237256854893967,-0.01665742173941327,-0.0169329632744239,-0.0176606819017521,-0.017076584019241448,-0.01172748281428745,-0.0117988090367344
2322,-0.021394315965272276,-0.0155277439611195,-0.016210512315655203,-0.0157685724808688,-0.015973942428537367,-0.0164083322234708,-0.0166637672548588,-0.0173852373072067,-0.016838921586926348,-0.011523432904267949,-0.0115096450120438
2320,-0.0211338665998238,-0.0152925908322783,-0.015915653455916,-0.015448266981895267,-0.015671122117615066,-0.016114500059426665,-0.016342909256322865,-0.01706211604498705,-0.01653130397040985,-0.01130101890387295,-0.0112893841426884
2318,-0.02080759421755045,-0.0150726129931966,-0.015622912864516267,-0.015074564316182834,-0.015356127225183933,-0.015786381085048665,-0.015976815864253435,-0.016741563972537052,-0.01620438319353725,-0.0110640537631847,-0.0111375707269257
2316,-0.020465826541615377,-0.0148438872796807,-0.015306390897831068,-0.014679221436493898,-0.015013053734731633,-0.015414921733391434,-0.015565042286941935,-0.016401532908422348,-0.015869522363306098,-0.0107709067747895,-0.0109250737060911
2314,-0.02014686242191085,-0.014586693823258376,-0.0149549657648268,-0.014266085317726801,-0.014621008161807834,-0.015005515171653433,-0.015131548701329434,-0.016015076229658497,-0.01551160509032755,-0.010414174790459401,-0.0106009188497944
2312,-0.019846298261704025,-0.0143130185879531,-0.014569817131267634,-0.0138237891375047,-0.014171646308294832,-0.014565226296925367,-0.014689944587584167,-0.0155892072399153,-0.015113297041273049,-0.0100147441494828,-0.0102164325910277
2310,-0.019567626934434326,-0.014073280353803924,-0.014198515928882901,-0.013407955561020734,-0.013718988174364066,-0.014133521310194033,-0.014268684952683866,-0.01517777964325325,-0.0147069804349454,-0.009631952243714301,-0.0098573435542159
2308,-0.019341779962456597,-0.01393335727194385,-0.0139478815471472,-0.013150519384123335,-0.0133949194521101,-0.013814825104653533,-0.0139571324823445,-0.01486770790466145,-0.01438601029364245,-0.00938379581904195,-0.0096267785659724
2306,-0.01916564335504345,-0.013901478427918026,-0.013872653821059499,-0.013107823908949767,-0.013287928204456132,-0.013690121035772334,-0.013824616109097567,-0.014704441501745099,-0.014207735585591599,-0.009350799587900999,-0.0095982544517138
2304,-0.0189819786728381,-0.013887347996038999,-0.0138765059426805,-0.0131582996578145,-0.0133214032962502,-0.013699956389264967,-0.013801982537803034,-0.01462969397266395,-0.014110022890674,-0.00944846128022675,-0.0097143150970519
2302,-0.018758941947253725,-0.013780744542616723,-0.013803125849486899,-0.013131521448204368,-0.013324224314027902,-0.0136914612965068,-0.013740438048124068,-0.014538503377311201,-0.0139819442364791,-0.0094834858369112,-0.0097949371856157
2300,-0.018552772206293852,-0.013589821184168174,-0.013633915283533166,-0.013024956653172867,-0.013240608306675667,-0.013611906195452167,-0.0136192104766328,-0.0144215929915537,-0.0138209846398577,-0.0093851926461208,-0.0097364110342459
2298,-0.018453473495511998,-0.013449024227643476,-0.013509985315519233,-0.012998093398539566,-0.0131940223204239,-0.013581352343852833,-0.013597064990401865,-0.01439650382813645,-0.01375130278032015,-0.0092939006340632,-0.0096467012339336
