Wavenumbercm-1,1.30e+01 M,8.68e+00 M,6.51e+00 M,5.21e+00 M,4.34e+00 M,3.47e+00 M,2.60e+00 M
1740,-0.00030002346667908585,0.029490544232291607,0.06626530753799366,0.10847474045192564,0.18355480070666075,0.2322052238410256,0.2994529449455975
1738,-0.016209832461035224,0.012283406582461132,0.0527673697304938,0.09369261412686995,0.17993428227638697,0.23134620253426014,0.3102818804680139
1736,-0.018931329608094974,0.017957329072646876,0.0692509628648092,0.11901099577568625,0.22953538252057276,0.29108393297897506,0.3948483040421703
1734,-0.005453318973776741,0.04605912378365743,0.10823437743829133,0.17278404268890213,0.3072020534695584,0.3813471718626159,0.5076872581033842
1732,-0.006720770148230414,0.0425204784686241,0.09689746108153985,0.15886595791772423,0.28550305420813393,0.35509981317094547,0.4673447521294477
1730,-0.035063714333797964,-0.010169906794095534,0.018784819604407636,0.05655625759285759,0.14490108383672493,0.19136473667928552,0.25622124563862125
1728,-0.0639038717105721,-0.06607603771751865,-0.061980067667931876,-0.050210684968628246,-0.0032675080485178535,0.019123773339933557,0.03722111239195333
1726,-0.07418404153813005,-0.09289057227624554,-0.10325297458556686,-0.10661524062864028,-0.08894087084379153,-0.08123630690508364,-0.08989561675762439
1724,-0.06800778520339675,-0.0906247034144462,-0.10424042909051244,-0.11030364336735145,-0.10555065284409694,-0.10190092559281241,-0.11476295073310856
1722,-0.05217125610392449,-0.06627731888260265,-0.07150510716513887,-0.06755578307742066,-0.05613397064426718,-0.04536966595734731,-0.04241196009397685
1720,-0.02177818827992577,-0.010371438309500972,0.010223248905508395,0.04254243839107391,0.08588421156327322,0.1197031699044485,0.1618923354072479
1718,0.023664687102861796,0.07507843743614864,0.13754585423486618,0.21340434979497644,0.3054886496281494,0.3750616820288182,0.47720959620248476
1716,0.04297559217935425,0.11287750791606159,0.1968977648237239,0.2914241190208736,0.39967300175556625,0.4831538636447461,0.6200730995844399
1714,0.010537406299641951,0.05504186305055171,0.11557122821798606,0.18078635817135671,0.25028418437710076,0.3066730922375186,0.4184964897771655
1712,-0.030352087866602852,-0.02062122547686004,0.005553907794234207,0.032345858058497545,0.05645464802693921,0.07873402111221463,0.14660831992348936
1710,-0.04678957471806323,-0.052607294925286166,-0.0412273397150632,-0.031019245929245712,-0.02448520138629155,-0.016341768482274126,0.029102800189996017
