Wavenumbercm-1,0.00e+00 M,1.30e+01 M,8.68e+00 M,6.51e+00 M,5.21e+00 M,4.34e+00 M,3.47e+00 M,2.60e+00 M,0.00e+00 M
2854,-0.0004384323097501201,-0.0020028164670195248,-0.00255781357492945,-0.0030991435497904666,-0.0032330647707222333,-0.0037230642810567663,-0.004414320610345233,-0.0048109943827546004,-0.0010985070815783002
2852,-0.00042208878361346,-0.0020653689742249,-0.00261025350246595,-0.003134599020340333,-0.0033279010996984672,-0.0038137534166675998,-0.004495817343739567,-0.0048654551401517004,-0.0012191108639491
2850,-0.00039909796573578,-0.002087271509565375,-0.0026229168218336,-0.003113117845961367,-0.0033820182789536667,-0.0038748097422841,-0.004535106960360033,-0.004878334670147867,-0.001321125952660975
2848,-0.00038298738955366,-0.0020845571531865,-0.00261439363843715,-0.0030457811033286334,-0.0033907787439982,-0.0038550059953672,-0.0045015948601885335,-0.004838933820098334,-0.0013481288938822003
2846,-0.00038004043461696004,-0.002093996624232425,-0.00260541781811425,-0.0029753650915642,-0.0033671306507264006,-0.0037725204690281003,-0.004428873001798767,-0.004769872762700801,-0.0012991989742648
2844,-0.0003807435369166967,-0.002126606244537625,-0.0026089663331980498,-0.0029425481543981,-0.0033291277470637003,-0.0036969822144721,-0.004369638936026733,-0.0047066489282599,-0.0012353246486078249
2842,-0.00037517570518708673,-0.002146426285357525,-0.00261689990580255,-0.002940257911371867,-0.0032816176327517335,-0.0036690644130479,-0.004333670849327867,-0.004657344221528033,-0.001199676541299525
2840,-0.00036722111456828,-0.0021302701811777252,-0.0026163664610290996,-0.0029375370211448333,-0.003229115242078933,-0.003674940138630367,-0.004303833036241566,-0.0046133430666997,-0.0011798408423658252
2838,-0.00036767031787866,-0.002112807838854125,-0.0026076540396960998,-0.0029253145664909,-0.0031917921369458003,-0.0036857110122735,-0.004280564074199233,-0.004580156483195701,-0.001155804498200425
2836,-0.00037912784788622,-0.002134574961717925,-0.00259229627628625,-0.002911772551181867,-0.0031820148223497004,-0.003685011463960433,-0.004269390493510367,-0.004566166697802367,-0.0011387792283347753
