Wavenumbercm-1,02:32:59,02:36:01,02:39:01,02:42:01,02:45:01,02:48:01,02:51:01,02:54:01,02:57:01,03:00:01,03:03:01,03:06:01,03:09:01,03:12:01,03:15:01,03:18:01,03:21:01,03:24:01,03:27:01,03:30:01,03:33:01,03:36:01,03:39:01,03:42:02,03:45:00,03:48:01,03:51:01,03:54:01,03:57:01,04:00:01,04:03:01,04:06:01,04:09:01
2956,-0.0236673583899617,-0.0244843463746664,-0.0252700389531591,-0.0253382314006799,-0.0256154909302683,-0.0255874573610378,-0.0228801428274838,-0.0209353254339557,-0.0201469912649768,-0.0201676976358218,-0.020192235767955,-0.0212939474989924,-0.0207773624140142,-0.0207088204485009,-0.0213472465768028,-0.0211819209915085,-0.021101510930047,-0.0217179403627519,-0.0222048022338623,-0.0224635236896592,-0.0227819161571041,-0.0231160602756334,-0.0230753703138036,-0.0229915431362898,-0.0234889610363977,-0.0237820368812421,-0.0242495385115141,-0.0247160732200453,-0.0250574931244606,-0.0229421182863192,-0.0195071459970694,-0.0203027474947065,-0.0207448599771175
2954,-0.023797155850753,-0.024597742171574,-0.0253368730023283,-0.0256344619223296,-0.0257375846257535,-0.0257410680920595,-0.0230449899116317,-0.0210978123358842,-0.0204152246833571,-0.0204046728662491,-0.0203544690223252,-0.0212735229452569,-0.0208670289034341,-0.020882009930235,-0.021256283783388,-0.0214377659106487,-0.0213741409143102,-0.0217931252436766,-0.0222355880731782,-0.022535055768787,-0.0229021281855647,-0.0231549493793311,-0.0231581656946246,-0.0230621373467315,-0.0236126377803324,-0.0238089933192647,-0.0244293086777374,-0.0247954193211151,-0.0250589615959269,-0.023057147331443,-0.019481297679759,-0.020390718999711,-0.0208402030285811
2952,-0.0238597102932446,-0.0246407013852837,-0.025410017199351,-0.0258457334728869,-0.0258686967873996,-0.0257284457340533,-0.0231090935430807,-0.0211174808679375,-0.0206420999412136,-0.0204735531505468,-0.0204751434397728,-0.0210790178654234,-0.0208812662584971,-0.0210492364652952,-0.0211789783720502,-0.0214988823972709,-0.0214229232904242,-0.0218231256548637,-0.0223111616692341,-0.0225534178194716,-0.0228987852833849,-0.0231147226356507,-0.023050358274492,-0.0231246384528782,-0.0237503408993606,-0.0237525408033988,-0.024454567373497,-0.0247681435758445,-0.0249716088165973,-0.0230660915546828,-0.0193735120530914,-0.0203996574275087,-0.020796250388796
2950,-0.0239636495893894,-0.0247346935653654,-0.0255018678612348,-0.025959954942425,-0.0260677475878872,-0.0256189084204651,-0.0231266963478264,-0.021067747423748,-0.0207387452520378,-0.0204764350894582,-0.0205166598803211,-0.0208776280428269,-0.0208779924695391,-0.021089288012321,-0.0212619314926313,-0.021403170859512,-0.0213485116524797,-0.0218343743893408,-0.0223938592061053,-0.0225434784697887,-0.0228171283534248,-0.023072768825876,-0.0228303072946075,-0.0231714676283181,-0.0238969540035103,-0.0236726508225467,-0.0243902703397335,-0.0246343150973441,-0.024863045731091,-0.0230109270315343,-0.0191831378323923,-0.020366951649834,-0.0206491816361234
2948,-0.0241389871903739,-0.0249593502695943,-0.0255652742158617,-0.0260162050536504,-0.0262315756770503,-0.0255109963203067,-0.0231000853318069,-0.0210351923946543,-0.0207518594338928,-0.0205077618496476,-0.0205038405455248,-0.0208331491391753,-0.0209266134540144,-0.0209987302670401,-0.0214976943959132,-0.0213344452958489,-0.0213903024736876,-0.0218619815401461,-0.0224384493987896,-0.0225385626570928,-0.0227693533225391,-0.023105797859297,-0.0226826094124007,-0.0232283188934879,-0.0240506270524518,-0.0236734739189354,-0.0243957909400777,-0.0245035716376849,-0.0248586402803902,-0.022925870427502,-0.0190264869738447,-0.0203601345774258,-0.0204675126031639
2946,-0.024256065497962,-0.025176325198667,-0.0255318614733295,-0.0259861872790026,-0.0261333455786708,-0.0254230663921311,-0.0229734943122022,-0.0209754044020827,-0.0206931406490339,-0.0204693781482537,-0.0204321529071392,-0.020902156416002,-0.0209806165708259,-0.020859934480723,-0.0217078400255349,-0.0213651322050152,-0.0215684372452572,-0.0218913437806194,-0.0224084864445213,-0.0225253886080888,-0.0228030290048994,-0.0231729002624026,-0.0226833652928685,-0.0232892504068823,-0.0241540285978117,-0.0237672810400232,-0.0244745508282855,-0.0244904220587454,-0.0249741623137557,-0.0228258730941789,-0.0189962158754419,-0.0203627943380585,-0.0202450896196007
2944,-0.0241784744655462,-0.0251764193155731,-0.0254014605703624,-0.0258230678294872,-0.0257270639940504,-0.0253535595656928,-0.0227719403872797,-0.0207909721346786,-0.0204963078592487,-0.0202692547040123,-0.020270958397652,-0.0209257847754213,-0.0209384764742302,-0.0207355986977713,-0.0217282812657338,-0.0213718586838337,-0.0216383313756634,-0.0218839178156446,-0.022268642908258,-0.0224419341466647,-0.0228788483246475,-0.0231734542918237,-0.0227560373602852,-0.0233161940045967,-0.0241219994859564,-0.0238616802767634,-0.0244830753999427,-0.0245713270280851,-0.0250995037133164,-0.0227489356881798,-0.0190718223758965,-0.0203158033960339,-0.0199891325562013
2942,-0.0238791759932901,-0.0249020670776239,-0.0252078907516282,-0.025565286517932,-0.0252508834029642,-0.0252853034742325,-0.0225885460604358,-0.0204898761500384,-0.0201614482197832,-0.0199956007405358,-0.0200167485799052,-0.020835196149244,-0.020759222735015,-0.020606151337292,-0.0215398154457173,-0.0212011886293908,-0.0214070535449496,-0.0217910855314082,-0.022014399150538,-0.0222254644457896,-0.0229154005228296,-0.0230548954730757,-0.0227731151821888,-0.0232597949557723,-0.0238941649272661,-0.0238456601568637,-0.0243136545756229,-0.0245713232879835,-0.0250977410401447,-0.0226966712222753,-0.0191341003973415,-0.0202019229277394,-0.0197872225924124
2940,-0.0234539447883333,-0.0245109290574187,-0.0249961272922772,-0.0253348298687434,-0.0249813872564197,-0.0251795484632716,-0.0224935270453889,-0.0202379178728159,-0.0198818098219907,-0.0198207205997792,-0.0197609456500899,-0.0207242397132719,-0.0205164314093526,-0.0204716879714403,-0.0212642387526069,-0.0208937113956481,-0.021015480755386,-0.0216104723753334,-0.0217753207821329,-0.0219294486217325,-0.0228846878704519,-0.0228995709521896,-0.0227158907225718,-0.0231289013360511,-0.0235422458930348,-0.0237264481318883,-0.0240466559180304,-0.0244013367298503,-0.0249601042429304,-0.0226367879528398,-0.0191130736636723,-0.0200758475013005,-0.019747681034297
2938,-0.0230296203924034,-0.0242023855083707,-0.0248241549567717,-0.0251982289824394,-0.0249311589853738,-0.0250131702312717,-0.0224701877565972,-0.0201529299810169,-0.0198219938157459,-0.0197644355803264,-0.0196182815056518,-0.0206712289511907,-0.0203140819114215,-0.02039676750975,-0.0210189260654873,-0.0206165411467205,-0.0207478104155327,-0.0213903944822019,-0.0217006701464174,-0.0216956943741579,-0.0227981916710496,-0.0228146898631368,-0.0226394416533316,-0.0229943747585799,-0.0232359527627739,-0.0236042291524376,-0.0238466378368427,-0.0241811917310177,-0.0247913441157305,-0.0226033707708834,-0.0190389118252784,-0.0199862639967044,-0.0198615229387489
2936,-0.0226903736024799,-0.024028780360918,-0.0247154861465707,-0.0250785267607854,-0.0249056753787059,-0.0248265686389333,-0.0224403274667623,-0.0201358792415231,-0.019868032705915,-0.0196878648721391,-0.019615869071486,-0.0206135669457732,-0.0201906855187626,-0.0203995374397487,-0.0208182706431371,-0.0204555279167452,-0.0206669557794947,-0.021164096031493,-0.0217396663290811,-0.0215876347808754,-0.022631130187703,-0.0227477817384924,-0.0225338522170679,-0.022908297014228,-0.0230669337324072,-0.0235179546553844,-0.0237525115228545,-0.0240448165339403,-0.0246496212386214,-0.0226835408582498,-0.0189460145513147,-0.019919854074998,-0.0199899631271116
2934,-0.022526303985089,-0.0239596392139438,-0.0246666551084068,-0.0249164612887232,-0.0248491866194558,-0.0247396336519778,-0.0224100345709088,-0.0200694184923196,-0.0198627159265543,-0.0195804390715049,-0.0197333364633334,-0.0205275124062821,-0.0202111364693425,-0.0204338955784018,-0.0206843266283944,-0.0204364177881046,-0.0206666772530332,-0.0210153334063797,-0.0217616568231724,-0.0216036763438532,-0.0224146697446987,-0.022605141229063,-0.0224208773336451,-0.0229062998069784,-0.0230386208209753,-0.0234748154960288,-0.0237237165546947,-0.024037021566779,-0.0245471806002797,-0.0228975173027441,-0.0188913611940369,-0.0199136554288545,-0.0200633055636306
2932,-0.0225758888029376,-0.0239551967670519,-0.0246426923948552,-0.0247641446418679,-0.0248784451812518,-0.0247995568994342,-0.0224496957449873,-0.0199829147914664,-0.0198602053262482,-0.0195610279279569,-0.0199137248461256,-0.0204969196094358,-0.0204429289485504,-0.0204288951187773,-0.0206719102877651,-0.0205552542976675,-0.0206712759414411,-0.0210440952638455,-0.0217441555132911,-0.0217278003736132,-0.0222525534184263,-0.0224198325465496,-0.0223772543128834,-0.0229674421216256,-0.0231123802308356,-0.0234868293320798,-0.0237368575857186,-0.0241406983202852,-0.0244935266261752,-0.023092828704171,-0.0189260598851234,-0.0200227571287019,-0.0201321905994892
2930,-0.0227407049687611,-0.023964359605769,-0.0246047596461355,-0.0246776813502127,-0.0250209834523382,-0.0248994493116427,-0.0225628502971007,-0.0199554300668532,-0.0199710414919241,-0.0196247908730361,-0.0200678609609658,-0.0205508087145262,-0.0207907875995278,-0.0203530059063264,-0.0207642666930197,-0.0207294005818632,-0.0206466301027607,-0.0212172328538537,-0.0217191566019251,-0.0219066884898877,-0.0221929262453679,-0.0223131985091165,-0.0223933216372701,-0.0229928269274551,-0.023232938293551,-0.0235212084999324,-0.0237757120171603,-0.0243100302399171,-0.0244999269827215,-0.0230944663626633,-0.019016937934421,-0.0201713448289695,-0.0202297320358601
2928,-0.0228892627693717,-0.0239732475502445,-0.024587098453972,-0.0246510104202457,-0.0251580868664112,-0.0249427760433932,-0.0226852478121226,-0.0199982397869551,-0.0201262778628105,-0.0196469244511283,-0.0201562884523849,-0.0206032771060418,-0.0210206320771827,-0.0202774130972362,-0.0208617002300525,-0.020831435124299,-0.020550486625543,-0.0213749620136683,-0.0216470042847708,-0.0220564519567969,-0.0221970502833609,-0.0223543226484954,-0.0223739473912261,-0.0229167436002926,-0.0233577183155385,-0.0235027186957522,-0.0238107020540555,-0.0244836810544197,-0.024580888309992,-0.0229549421517271,-0.01907788538075,-0.0202027776807004,-0.0203152754966846
2926,-0.0229842417171091,-0.0240228856421429,-0.0246497605396391,-0.0246713830488238,-0.0252034010957955,-0.02494392433599,-0.0227469846261915,-0.0200442805909706,-0.0201305360934737,-0.0195989502950556,-0.0201916490133394,-0.0205608612871189,-0.020970658492401,-0.0203110958236438,-0.0208709174616045,-0.020802998361057,-0.0203970672154803,-0.0213878624514523,-0.0214694792901633,-0.022110054296615,-0.0222310286189445,-0.0224965461811186,-0.022283831186559,-0.0227874292617523,-0.0234330411779104,-0.023382420374742,-0.0238069433981722,-0.0245821818880214,-0.0247091892338729,-0.0228722448325559,-0.0190554443494849,-0.0200654354276188,-0.0203232502378537
2924,-0.0230822311638218,-0.0241460272103478,-0.0247944877282382,-0.0247704645494186,-0.0252165487094578,-0.0249547678843667,-0.0227282234292612,-0.0200587532791709,-0.0199447800482636,-0.0196114126653469,-0.0201829618243634,-0.0204713384317766,-0.0207315638565797,-0.0204706787981371,-0.020824557601279,-0.0207298930881007,-0.0203473753861928,-0.021293539035585,-0.0213036728687739,-0.0221010856987965,-0.0223283392648898,-0.0226652384912393,-0.0222393711775852,-0.0227427051608054,-0.0234282748022842,-0.0232455071116999,-0.0237863024183936,-0.0246066911050657,-0.0248247810525387,-0.0229225900417359,-0.0190097130280603,-0.0199157945871057,-0.0202410641170323
