Wavenumbercm-1,00:02:32,00:05:32,00:08:32,00:11:32,00:14:32,00:30:55,00:33:54,00:36:55,00:39:55,00:42:55,00:45:55,00:48:55,00:51:55,00:54:55,00:57:54,01:00:55,01:03:55,01:06:55,01:09:55,01:12:55,01:15:55,01:18:55,01:21:56,01:24:56,01:27:55,01:30:55,01:37:04,01:40:04,01:43:04,01:46:04
1628,-0.004663672965576001,-0.004708716225742901,-0.0044771354156850005,-0.0039426393064972,-0.003824984518056301,0.0059002797634507,0.006201555189724399,0.0064678534269677,0.0067334418808588994,0.005423652493999799,0.005812659245394399,0.005302022177537899,0.0054430937713932995,0.0055640761746649,0.005213201607346899,0.0054525814343025,0.0059371594466758,0.005669905767239499,0.0055575636389386,0.005911833687718198,0.00569208330406,0.0056893473745872995,0.005736859490821599,0.005614772081836399,0.005895427317101999,0.006054042585165899,0.0120315327540024,0.018415543857302798,0.0217550887844188,0.0216171484315574
1626,-0.00468410509503475,-0.00469310225798585,-0.00442671200378465,-0.0039048043228020503,-0.0037726635672774497,0.00625792343549925,0.00655109270400475,0.006830674943541448,0.00709025380902565,0.0056814448854926505,0.006088414556729449,0.00555139611647335,0.0057042139264238505,0.0058225884136998505,0.00545623083910245,0.00571462523933605,0.0062171626226028495,0.00595931452626125,0.005852162797211451,0.006213816074575249,0.00600025425373525,0.00601024720208455,0.00605885273780455,0.00593213188052755,0.006222488771511549,0.00640707143141515,0.01199030034445495,0.01829942113236075,0.02160337920089355,0.02148138724688475
1624,-0.00455415394631885,-0.00456416170282465,-0.004286353661733349,-0.0037841351019211496,-0.0036591690577433495,0.006736834475992952,0.007012766641182449,0.007290258086530452,0.00753583176826335,0.0059615050030065505,0.006377530257454052,0.00577676979054075,0.00592246843213055,0.006041385790451451,0.005639920831056251,0.005904497635023851,0.00641684432928845,0.00614290331522665,0.00604261681977215,0.006407384930516952,0.006167001602445649,0.006182986850919751,0.006248493142270649,0.00608359169967505,0.006386625895234551,0.00658383285430335,0.01153402686553935,0.01772783172192715,0.02096294586636465,0.020847973470541348
1622,-0.004391278628629848,-0.004416091857106648,-0.0041489269821976486,-0.0036553684373008483,-0.0035470810748253487,0.007355981501766052,0.0076148083269581505,0.007879664209940752,0.00811195867588675,0.006291743094103153,0.006712840352838952,0.006000029619252851,0.006134238410609552,0.0062543075066004514,0.005787753280955252,0.006054489383180652,0.00656744557679745,0.006252381975830853,0.006162305676864351,0.00652511009234325,0.0062295587258654524,0.006249187930567451,0.006336610120859251,0.00610953847263585,0.006421737668159051,0.006617930599992753,0.010909798894904751,0.01706503312568395,0.020272767119065754,0.02015874698006035
1620,-0.00425966245331315,-0.00428846502551555,-0.00403261176980875,-0.0035398222522270498,-0.00343756086859105,0.00820479293717365,0.008454415620942051,0.00871022956095335,0.008934935954230751,0.006790079091450952,0.007214787158955849,0.00635013242568145,0.006479991260514149,0.006597400057350652,0.006036348369000251,0.00631154953597915,0.00682116546167575,0.00645513202079805,0.00637543110185395,0.006731512136662451,0.00637180824200605,0.006395083276929149,0.006496625745153951,0.00619992579123765,0.006514364153839051,0.006688203877355449,0.01030523959286785,0.01645629346350025,0.01966872703995895,0.01955812236945555
1618,-0.004089361041821584,-0.004124071236104784,-0.003873972340374384,-0.003392705898383584,-0.003288268080294484,0.009311076712667217,0.009552888819506318,0.009804178837415517,0.010021015103729216,0.007477975107867416,0.007892006953447916,0.006840843140619815,0.006966576189351216,0.007079047511720915,0.006396645303313115,0.006677078662068516,0.007174199914944316,0.0067498403688234145,0.006668283880605317,0.0070145605125721145,0.006587036145899018,0.006606016312987415,0.006706103933066516,0.006333391547256815,0.006641246976265216,0.006762683055696618,0.009545573575575615,0.015658279034940915,0.018870393136118213,0.018768378596978816
1616,-0.003844596099736834,-0.0039051942044854336,-0.0036661699503533337,-0.003209641448177933,-0.003114193162693333,0.010524656049767767,0.010751552205037665,0.010991679290131166,0.011193910454283567,0.008209200324203466,0.008593069846727266,0.007330397982133068,0.007441362733746466,0.007551428396026665,0.006731437292242067,0.006999462175030665,0.007470787687010965,0.006973219307049566,0.006874657140896766,0.007213424235678067,0.006708992187273468,0.006711551448294967,0.0067968995754842665,0.006336358869488367,0.006631956703578065,0.006693526386122566,0.008537263133569967,0.014619823262321766,0.017834775567755166,0.017739794865446867
1614,-0.0036039697711029673,-0.003695871737985067,-0.003481909578206467,-0.003044708165804067,-0.002974995458747967,0.011593893156938331,0.011806464555967334,0.012025306507232533,0.012212806215120234,0.008810818811787333,0.009163473651438232,0.007696479084799233,0.007786958195822334,0.007894524616351033,0.006942363628455631,0.007187191869143333,0.007629660589242533,0.007052324447664234,0.0069392484303211315,0.007272546435991234,0.006688653445282234,0.006671607689210133,0.006740429495968734,0.006190603220631832,0.006471754864087534,0.006498458133897333,0.007518537311495634,0.013646246280717634,0.016897931443428032,0.016801454711846533
1612,-0.0034264012856106843,-0.0035345132473571846,-0.0033561697148849845,-0.0029248210413673845,-0.0028831257750201846,0.012275345952831114,0.012488716119170214,0.012685555746507217,0.012869748606706416,0.009174711491212717,0.009509639542861716,0.007897987464620814,0.007974949649798014,0.008074832826626915,0.0070238946566956156,0.007251185996250515,0.007671579215955316,0.007037962329842015,0.006925339714667316,0.007246603393903714,0.006604717941365816,0.006573460779010215,0.006631989717377216,0.006018448550659717,0.006281017512602514,0.006296543845613714,0.006688633117767415,0.012913415422383617,0.016229242177050518,0.016125031064240417
1610,-0.0033047364776029996,-0.003415965562978,-0.0032736998935898,-0.0028423205425522997,-0.0028165809553221998,0.0124093741591089,0.012643230389403098,0.012826998658342501,0.013021589694192301,0.0092375524370726,0.0095650418663159,0.007906870001249,0.0079820436330553,0.0080728220491815,0.006979125921594501,0.007201404526401299,0.007605668739493102,0.006963139592648701,0.0068599310400657,0.007159299612951801,0.006499387727859601,0.0064614738302082,0.0065170853303664,0.005884244631345001,0.0061258198984043,0.006134860693878402,0.006064657467044401,0.012388925518841801,0.0157623879490701,0.0156533034320453
